created_at,text,likes,RTs,user_name
13/06/2021 19:54,"@DinaErcilia Asi se habla carajo! Si tu Porky no lo dices,yo lo dire la gente de Peru Libre son una tira de deshone… https://t.co/8PQTExCAha",3,0,MrSalsa2015
13/06/2021 19:54,"@fachista___ Asi se habla carajo! Si tu Porky no lo dices,yo lo dire la gente de Peru Libre son una tira de deshone… https://t.co/H0wdi65Mjd",0,0,MrSalsa2015
13/06/2021 19:52,"#DENUNCIA #URGENTE #SOSPeru Esto ya no es #FraudeEnMesa esto ya es #FraudeElectoral.

Esto es un fraude descarado d… https://t.co/RzqqoX0WRB",2,3,provida_pe
13/06/2021 19:52,"Con este destape del conteo trucho de la onpe no queda duda que Vizcarra no fue el más votado. 
Que se publiquen lo… https://t.co/SRBNEylLuQ",1054,415,CharitoABC
13/06/2021 19:52,"@elhigadodmarita Los peruanos del mundo ya se están manifestando, los peruanos honestos trabajadores dignos exigimo… https://t.co/9v7QXqXqL1",2,3,h_1789
13/06/2021 19:50,@DinaErcilia Farisea ..falsa cristiana  .ustedes no creen en la religión...ustedes los Comunistas piensan q la reli… https://t.co/sLMCdzbp6A,7,3,FracardTv
13/06/2021 19:46,Y se siguen encontrando fraudes. Serán los operadores o el software eñañado #fraudeEnMesa @malditaternura… https://t.co/iQFjWj8MSa,1,0,yzarich
13/06/2021 19:44,"Que lindo!! Error material, y le quito los puntos a ambos, claro siempre cuando FP tenga más votos que PL. Así o má… https://t.co/bxNCQEvUD6",0,1,SILVYTA27
13/06/2021 19:41,"Zurdos haraganes observadores de la @OEA_oficial vienen hacer turismo culinario y alcohólico 
#FraudeEnMesa https://t.co/GeZSvW8Cn0",24,13,gildatrkovic
13/06/2021 19:39,"En la página del @JNE_Peru , acaba de entrar como segundo vicepresidente de Perú Libre, el camarada principal de la… https://t.co/AJfLjL4A6u",2,1,stevan139
13/06/2021 19:33,"Así se divierten los observadores, donde esta la transparencia? #fraudeenmesa #fraudeenelperu https://t.co/t7lDKotPgj",1,0,ceci30660
